TCID;ID;Title;Description;Author;Importance;Pos/Neg;Automation;TCMS Case ID;#;Step;Expected Result;Type;_polarion
214;RHEL-118542;[cross migration] host-model guest cannot migrate after update libvirt - bug 1470582 - S4;host-model guest cannot migrate after update libvirt, there is a change since rhel7.4, the case is to test the migration from rhel7.3(before the change) to current release,;Yalan Zhang (yalzhang);Medium;Positive;Manual Only;;1;"S4: guest migrate from 7.3 host -> update to 7.4(current release)   -> migrate to 7.4 (current release) with --xml
 
 setup before testing:
 src: rhel7.3 (qemu-kvm-rhev-2.6.0-28.el7_3.3.x86_64 + libvirt-2.0.0-10.el7.x86_64)
 target: rhel7.3
 1. prepare 3 guest on src, which have custom, host-model and host-passthrough cpu:
 src: rhel7.3
 target: rhel7.3
 
 # virsh dumpxml r7-mig
 ...
   <cpu mode='custom' match='minimum'>
     <model fallback='allow'>Opteron_G5</model>
     <feature policy='disable' name='invtsc'/>
 ...
 
 # virsh dumpxml r7-mig2
 ...
   <cpu mode='host-model'>
     <model fallback='allow'/>
 ...
 
 # virsh dumpxml r7-mig3
 ...
   <cpu mode='host-passthrough'>
 ...
​​";​​;Test Case;RedHatEnterpriseLinux7/RHEL-118542
214;;;;;;;;;2;"2. start and migrate to 7.3 host:
 
 
 # virsh start r7-mig3
 Domain r7-mig3 started
 
 # virsh start r7-mig2
 Domain r7-mig2 started
 
 # virsh start r7-mig
 Domain r7-mig started
 
 # virsh migrate r7-mig qemu+ssh://target/system --live
 
 # virsh migrate r7-mig2 qemu+ssh://target/system --live
 
 # virsh migrate r7-mig3 qemu+ssh://target/system --live";​​;;RedHatEnterpriseLinux7/RHEL-118542
214;;;;;;;;;3;"3. check the guest xml in target:
 
 # virsh dumpxml r7-mig3
 ...
   <cpu mode='host-passthrough'>
     <feature policy='require' name='vme'/>
     <feature policy='require' name='ht'/>
     <feature policy='require' name='monitor'/>
     <feature policy='require' name='osxsave'/>
     <feature policy='require' name='bmi1'/>
     <feature policy='require' name='mmxext'/>
     <feature policy='require' name='fxsr_opt'/>
     <feature policy='require' name='cmp_legacy'/>
     <feature policy='require' name='extapic'/>
     <feature policy='require' name='cr8legacy'/>
     <feature policy='require' name='osvw'/>
     <feature policy='require' name='ibs'/>
     <feature policy='require' name='skinit'/>
     <feature policy='require' name='wdt'/>
     <feature policy='require' name='lwp'/>
     <feature policy='require' name='tce'/>
     <feature policy='require' name='nodeid_msr'/>
     <feature policy='require' name='topoext'/>
     <feature policy='require' name='perfctr_core'/>
     <feature policy='require' name='perfctr_nb'/>
 ...
 
 # virsh dumpxml r7-mig2
 ...
   <cpu mode='host-model'>
     <model fallback='allow'>Opteron_G5</model>
     <vendor>AMD</vendor>
     <feature policy='require' name='vme'/>
     <feature policy='require' name='ht'/>
     <feature policy='require' name='monitor'/>
     <feature policy='require' name='osxsave'/>
     <feature policy='require' name='bmi1'/>
     <feature policy='require' name='mmxext'/>
     <feature policy='require' name='fxsr_opt'/>
     <feature policy='require' name='cmp_legacy'/>
     <feature policy='require' name='extapic'/>
     <feature policy='require' name='cr8legacy'/>
     <feature policy='require' name='osvw'/>
     <feature policy='require' name='ibs'/>
     <feature policy='require' name='skinit'/>
     <feature policy='require' name='wdt'/>
     <feature policy='require' name='lwp'/>
     <feature policy='require' name='tce'/>
     <feature policy='require' name='nodeid_msr'/>
     <feature policy='require' name='topoext'/>
     <feature policy='require' name='perfctr_core'/>
     <feature policy='require' name='perfctr_nb'/>
 ...
 
 # virsh dumpxml r7-mig
   <cpu mode='custom' match='exact'>
     <model fallback='allow'>Opteron_G5</model>
     <feature policy='disable' name='invtsc'/>
     <feature policy='require' name='vme'/>
     <feature policy='require' name='ht'/>
     <feature policy='require' name='monitor'/>
     <feature policy='require' name='osxsave'/>
     <feature policy='require' name='bmi1'/>
     <feature policy='require' name='mmxext'/>
     <feature policy='require' name='fxsr_opt'/>
     <feature policy='require' name='cmp_legacy'/>
     <feature policy='require' name='extapic'/>
     <feature policy='require' name='cr8legacy'/>
     <feature policy='require' name='osvw'/>
     <feature policy='require' name='ibs'/>
     <feature policy='require' name='skinit'/>
     <feature policy='require' name='wdt'/>
     <feature policy='require' name='lwp'/>";​​;;RedHatEnterpriseLinux7/RHEL-118542
214;;;;;;;;;4;"4. update target and source host to 7.4:
 
 # yum update libvirt* qemu*";​​;;RedHatEnterpriseLinux7/RHEL-118542
214;;;;;;;;;5;"5. recheck guest xml:
 
 # virsh dumpxml r7-mig |grep -A28 '<cpu'
   <cpu mode='custom' match='exact' check='partial'>
     <model fallback='allow'>Opteron_G5</model>
     <feature policy='disable' name='invtsc'/>
     <feature policy='require' name='vme'/>
     <feature policy='require' name='ht'/>
     <feature policy='require' name='monitor'/>
     <feature policy='require' name='osxsave'/>
     <feature policy='require' name='bmi1'/>
     <feature policy='require' name='mmxext'/>
     <feature policy='require' name='fxsr_opt'/>
     <feature policy='require' name='cmp_legacy'/>
     <feature policy='require' name='extapic'/>
     <feature policy='require' name='cr8legacy'/>
     <feature policy='require' name='osvw'/>
     <feature policy='require' name='ibs'/>
     <feature policy='require' name='skinit'/>
     <feature policy='require' name='wdt'/>
     <feature policy='require' name='lwp'/>
     <feature policy='require' name='tce'/>
     <feature policy='require' name='nodeid_msr'/>
     <feature policy='require' name='topoext'/>
     <feature policy='require' name='perfctr_core'/>
     <feature policy='require' name='perfctr_nb'/>
 
 # virsh dumpxml r7-mig2 |grep -A28 '<cpu'
   <cpu mode='custom' match='exact' check='full'>
     <model fallback='allow'>Opteron_G5</model>
     <vendor>AMD</vendor>
     <feature policy='require' name='vme'/>
     <feature policy='disable' name='ht'/>
     <feature policy='disable' name='monitor'/>
     <feature policy='disable' name='osxsave'/>
     <feature policy='require' name='bmi1'/>
     <feature policy='require' name='mmxext'/>
     <feature policy='require' name='fxsr_opt'/>
     <feature policy='require' name='cmp_legacy'/>
     <feature policy='disable' name='extapic'/>
     <feature policy='require' name='cr8legacy'/>
     <feature policy='require' name='osvw'/>
     <feature policy='disable' name='ibs'/>
     <feature policy='disable' name='skinit'/>
     <feature policy='disable' name='wdt'/>
     <feature policy='disable' name='lwp'/>
     <feature policy='disable' name='tce'/>
     <feature policy='disable' name='nodeid_msr'/>
     <feature policy='disable' name='topoext'/>
     <feature policy='disable' name='perfctr_core'/>
     <feature policy='disable' name='perfctr_nb'/>
     <feature policy='require' name='x2apic'/>
     <feature policy='require' name='hypervisor'/>
     <feature policy='disable' name='rdtscp'/>
     <feature policy='disable' name='svm'/>
 
 # virsh dumpxml r7-mig3 |grep -A28 '<cpu'
   <cpu mode='host-passthrough' check='none'>
     <feature policy='require' name='vme'/>
     <feature policy='require' name='ht'/>
     <feature policy='require' name='monitor'/>
     <feature policy='require' name='osxsave'/>
     <feature policy='require' name='bmi1'/>
     <feature policy='require' name='mmxext'/>
     <feature policy='require' name='fxsr_opt'/>
     <feature policy='require' name='cmp_legacy'/>
     <feature policy='require' name='extapic'/>
     <feature policy='require' name='cr8legacy'/>
     <feature policy='require' name='osvw'/>
     <feature policy='require' name='ibs'/>
     <feature policy='require' name='skinit'/>
     <feature policy='require' name='wdt'/>
     <feature policy='require' name='lwp'/>
     <feature policy='require' name='tce'/>
     <feature policy='require' name='nodeid_msr'/>
     <feature policy='require' name='topoext'/>
     <feature policy='require' name='perfctr_core'/>
     <feature policy='require' name='perfctr_nb'/>
​​";​​;;RedHatEnterpriseLinux7/RHEL-118542
214;;;;;;;;;6;"9. migrate to source host:
 
 # virsh dumpxml r7-mig --migratable > /tmp/r7-mig.xml
 # virsh migrate r7-mig qemu+ssh://source/system --live --xml /tmp/r7-mig.xml
 
 # virsh dumpxml r7-mig2 --migratable > /tmp/r7-mig2.xml
 # virsh migrate r7-mig2 qemu+ssh://source/system --live --xml /tmp/r7-mig2.xml
 
 # virsh dumpxml r7-mig3 --migratable > /tmp/r7-mig3.xml
 # virsh migrate r7-mig3 qemu+ssh://source/system --live --xml /tmp/r7-mig3.xml
​​";​​;;RedHatEnterpriseLinux7/RHEL-118542
214;;;;;;;;;7;"10. recheck the guest xml:
 
 # virsh dumpxml r7-mig |grep -A28 '<cpu'
  <cpu mode='custom' match='exact' check='full'>
    <model fallback='forbid'>Opteron_G5</model>
    <feature policy='disable' name='invtsc'/>
    <feature policy='require' name='vme'/>
    <feature policy='disable' name='ht'/>
    <feature policy='disable' name='monitor'/>
    <feature policy='disable' name='osxsave'/>
    <feature policy='require' name='bmi1'/>
    <feature policy='require' name='mmxext'/>
    <feature policy='require' name='fxsr_opt'/>
    <feature policy='require' name='cmp_legacy'/>
    <feature policy='disable' name='extapic'/>
    <feature policy='require' name='cr8legacy'/>
    <feature policy='require' name='osvw'/>
    <feature policy='disable' name='ibs'/>
    <feature policy='disable' name='skinit'/>
    <feature policy='disable' name='wdt'/>
    <feature policy='disable' name='lwp'/>
    <feature policy='disable' name='tce'/>
    <feature policy='disable' name='nodeid_msr'/>
    <feature policy='disable' name='topoext'/>
    <feature policy='disable' name='perfctr_core'/>
    <feature policy='disable' name='perfctr_nb'/>
    <feature policy='require' name='x2apic'/>
    <feature policy='require' name='hypervisor'/>
    <feature policy='disable' name='rdtscp'/>
    <feature policy='disable' name='svm'/>
 
 # virsh dumpxml r7-mig2 |grep -A28 '<cpu'
  <cpu mode='custom' match='exact' check='full'>
    <model fallback='forbid'>Opteron_G5</model>
    <vendor>AMD</vendor>
    <feature policy='require' name='vme'/>
    <feature policy='disable' name='ht'/>
    <feature policy='disable' name='monitor'/>
    <feature policy='disable' name='osxsave'/>
    <feature policy='require' name='bmi1'/>
    <feature policy='require' name='mmxext'/>
    <feature policy='require' name='fxsr_opt'/>
    <feature policy='require' name='cmp_legacy'/>
    <feature policy='disable' name='extapic'/>
    <feature policy='require' name='cr8legacy'/>
    <feature policy='require' name='osvw'/>
    <feature policy='disable' name='ibs'/>
    <feature policy='disable' name='skinit'/>
    <feature policy='disable' name='wdt'/>
    <feature policy='disable' name='lwp'/>
    <feature policy='disable' name='tce'/>
    <feature policy='disable' name='nodeid_msr'/>
    <feature policy='disable' name='topoext'/>
    <feature policy='disable' name='perfctr_core'/>
    <feature policy='disable' name='perfctr_nb'/>
    <feature policy='require' name='x2apic'/>
    <feature policy='require' name='hypervisor'/>
    <feature policy='disable' name='rdtscp'/>
    <feature policy='disable' name='svm'/>
 
 # virsh dumpxml r7-mig |grep -A28 '<cpu'
  <cpu mode='custom' match='exact' check='full'>
    <model fallback='forbid'>Opteron_G5</model>
    <feature policy='disable' name='invtsc'/>
    <feature policy='require' name='vme'/>
    <feature policy='disable' name='ht'/>
    <feature policy='disable' name='monitor'/>
    <feature policy='disable' name='osxsave'/>
    <feature policy='require' name='bmi1'/>
    <feature policy='require' name='mmxext'/>
    <feature policy='require' name='fxsr_opt'/>
    <feature policy='require' name='cmp_legacy'/>
    <feature policy='disable' name='extapic'/>
    <feature policy='require' name='cr8legacy'/>
    <feature policy='require' name='osvw'/>
    <feature policy='disable' name='ibs'/>
    <feature policy='disable' name='skinit'/>
    <feature policy='disable' name='wdt'/>
    <feature policy='disable' name='lwp'/>
    <feature policy='disable' name='tce'/>
    <feature policy='disable' name='nodeid_msr'/>
    <feature policy='disable' name='topoext'/>
    <feature policy='disable' name='perfctr_core'/>
    <feature policy='disable' name='perfctr_nb'/>
    <feature policy='require' name='x2apic'/>
    <feature policy='require' name='hypervisor'/>
    <feature policy='disable' name='rdtscp'/>
    <feature policy='disable' name='svm'/>
 
​​";"
 cpu sections are updated";;RedHatEnterpriseLinux7/RHEL-118542
214;;;;;;;;;8;11. check the qemu command and log in guest log;​​;;RedHatEnterpriseLinux7/RHEL-118542
215;RHEL-118570;[Migration][-dname][--xml][--p2p] Change live domain xml on destination when do live migration - p2p migration;virDomainMigrateToURI3 API is used by virsh client now( since libvirt-xxx);Fangge Jin (fjin);Medium;Positive;Not Automated;;1; Retest RHEL-130624 for p2p migration;​​;Test Case;RedHatEnterpriseLinux7/RHEL-118570
216;RHEL-119497;IDM-SSSD-TC: ldap_provider: cache_performance: Group lookup stats with 200 users in a group;Cache performance RFE test.;Amith Kumar Peethambaran (apeetham);High;Positive;Automated;;;;;Test Case;RedHatEnterpriseLinux7/RHEL-119497
217;RHEL-119498;IDM-SSSD-TC: ldap_provider: cache_performance: Group lookup stats with 500 users in a group;Cache performance RFE test.;Amith Kumar Peethambaran (apeetham);High;Positive;Automated;;;;;Test Case;RedHatEnterpriseLinux7/RHEL-119498
218;RHEL-119634;IDM-SSSD-TC: ldap_provider: cache_performance: Group lookup stats with 1000 users in a group;Cache performance RFE test.;Amith Kumar Peethambaran (apeetham);High;Positive;Automated;;;;;Test Case;RedHatEnterpriseLinux7/RHEL-119634
219;RHEL-119635;IDM-SSSD-TC: ldap_provider: cache_performance: Group lookup stats with 1500 users in a group;Cache performance RFE test.;Amith Kumar Peethambaran (apeetham);High;Positive;Automated;;;;;Test Case;RedHatEnterpriseLinux7/RHEL-119635
220;RHEL-119636;IDM-SSSD-TC: ldap_provider: cache_performance: Group lookup stats with 2000 users in a group;Cache performance RFE test.;Amith Kumar Peethambaran (apeetham);High;Positive;Automated;;;;;Test Case;RedHatEnterpriseLinux7/RHEL-119636
221;RHEL-119637;IDM-SSSD-TC: ldap_provider: cache_performance: Group lookup stats with 3000 users in a group;Cache performance RFE test.;Amith Kumar Peethambaran (apeetham);High;Positive;Automated;;;;;Test Case;RedHatEnterpriseLinux7/RHEL-119637
222;RHEL-119638;IDM-SSSD-TC: ldap_provider: cache_performance: Verify user login time when 100 users attempt simultaneous login;Cache performance RFE test.;Amith Kumar Peethambaran (apeetham);High;Positive;Automated;;;;;Test Case;RedHatEnterpriseLinux7/RHEL-119638
223;RHEL-119639;IDM-SSSD-TC: ldap_provider: cache_performance: Verify user login time when 200 users attempt simultaneous login;Cache performance RFE test.;Amith Kumar Peethambaran (apeetham);High;Positive;Automated;;;;;Test Case;RedHatEnterpriseLinux7/RHEL-119639
224;RHEL-119640;IDM-SSSD-TC: ldap_provider: cache_performance: Verify user login time when 500 users attempt simultaneous login;Cache performance RFE test.;Amith Kumar Peethambaran (apeetham);High;Positive;Automated;;;;;Test Case;RedHatEnterpriseLinux7/RHEL-119640
225;RHEL-119641;IDM-SSSD-TC: ldap_provider: cache_performance: Verify user login time when 1000 users attempt simultaneous login;Cache performance RFE test.;Amith Kumar Peethambaran (apeetham);High;Positive;Automated;;;;;Test Case;RedHatEnterpriseLinux7/RHEL-119641
226;RHEL-120193;* The disks with </shareable> will be skipped * The disks with </readonly> will...;"* The disks with </shareable> will be skipped
* The disks with </readonly> will be skipped
";Fangge Jin (fjin);;Positive;Manual Only;;;;;Test Case;RedHatEnterpriseLinux7/RHEL-120193
227;RHEL-120194;[Migration][--migrateuri] Specify migrate URI for live migration - tunnelled migration  - not supported;Tunnelled migration with specified migrateuri;Fangge Jin (fjin);Low;Negative;Not Automated;;1;"* # virsh migrate --live --p2p --tunnelled --migrateuri $target_uri rhel6 qemu+ssh://$target_ip/system --verbose
";"Output:
 error: argument unsupported: migration URI is not supported by tunnelled migration";Test Case;RedHatEnterpriseLinux7/RHEL-120194
228;RHEL-120195;[Migration][--listen-address] Specify an invalid listen address for incoming migration connections;"Specify an invalid listen address for incoming migration connections
 Bug 1018267 - Libvirt crashes during migration 
 Bug 1049338 - listen address attribute ignored by peer-to-peer migration";Fangge Jin (fjin);High;Negative;Automated;;1;# virsh migrate --live qq qemu+ssh://$ip/system --verbose --listen-address 01.3.4.4;"Migration failed .
 
 Output:
 error: internal error: early end of file from monitor: possible problem:
 qemu-kvm: -incoming tcp:01.3.4.4:49152: Failed to bind socket: Cannot assign requested address";Test Case;RedHatEnterpriseLinux7/RHEL-120195
229;RHEL-120197;[Migration] Specify a listen address for incoming migration connections - by configuring parameter migration_address;"""migration_address"" (on qemu.conf of target host) indicates the listen address of qemu migration on target host;
Test matrix: see test plan
 
* # Override the listen address for all incoming migrations. Defaults to
* # 0.0.0.0, or :: if both host and qemu are capable of IPv6.
* #migration_address = ""0.0.0.0""
Bug 1015215 - RFE: provide a way to specify a listen address for incoming migration connections";Fangge Jin (fjin);Medium;Positive;Not Automated;;1;" Set migration_address to target's ip on target host:
 
 
* # vim /etc/libvirt/qemu.conf
migration_address = 10.66.4.136
* # systemctl restart libvirtd
";​​;Test Case;RedHatEnterpriseLinux7/RHEL-120197
229;;;;;;;;;2;Start a guest on source host;​​;;RedHatEnterpriseLinux7/RHEL-120197
229;;;;;;;;;3;"Do migration:
 
* # virsh migrate --live qemu+ssh://$ip/system $guest
";Migration succeeds;;RedHatEnterpriseLinux7/RHEL-120197
230;RHEL-120199;[Migration][--compressed] Live migration with memory compression - multiple compression methods;Multithread compression and XBZRLE compression can be used together.;Fangge Jin (fjin);Medium;Positive;Not Automated;;1;Start a guest on source host.;​​;Test Case;RedHatEnterpriseLinux7/RHEL-120199
230;;;;;;;;;2;"Start live migration with --compressed and multiple compression methods:
 
* # virsh migrate --live rhel6 qemu+ssh://{target ip}/system --compressed --comp-methods xbzrle,mt --comp-mt-level 2 --comp-mt-threads 4 --comp-mt-dthreads 3 --comp-xbzrle-cache 134217728
";​​;;RedHatEnterpriseLinux7/RHEL-120199
230;;;;;;;;;3;"After migration completes, get domain job info :
 
* # virsh domjobinfo rhel6 --completed
";"Output:
 Job type:         Completed   
 Operation:        Outgoing migration
 Time elapsed:     2221         ms
 Time elapsed w/o network: 2198         ms
 Data processed:   89.283 MiB
 Data remaining:   0.000 B
 Data total:       1.126 GiB
 Memory processed: 89.283 MiB
 Memory remaining: 0.000 B
 Memory total:     1.126 GiB
 Memory bandwidth: 52.251 MiB/s
 Dirty rate:       0            pages/s
 Page size:        4096         bytes
 Iteration:        3           
 Constant pages:   231144      
 Normal pages:     65405       
 Normal data:      255.488 MiB
 Total downtime:   85           ms
 Downtime w/o network: 62           ms
 Setup time:       9            ms
 Compression cache: 128.000 MiB
 Compressed data:  0.000 B
 Compressed pages: 0            
 Compression cache misses: 757          
 Compression overflows: 0  ";;RedHatEnterpriseLinux7/RHEL-120199
230;;;;;;;;;4;Check source libvirtd.log;"Output:
 2018-05-08 02:05:48.153+0000: 14965: info : qemuMonitorSend:1076 : QEMU_MONITOR_SEND_MSG: mon=0x7f9378014ef0 msg={""execute"":""migrate-set-capabilities"",""arguments"":{""capabilities"":[{""capability"":""xbzrle"",""state"":true}]},""id"":""libvirt-38""}

 2018-05-08 02:05:48.154+0000: 14965: info : qemuMonitorSend:1076 : QEMU_MONITOR_SEND_MSG: mon=0x7f9378014ef0 msg={""execute"":""migrate-set-capabilities"",""arguments"":{""capabilities"":[{""capability"":""compress"",""state"":true}]},""id"":""libvirt-39""}

 2018-05-08 02:05:48.156+0000: 14965: info : qemuMonitorSend:1076 : QEMU_MONITOR_SEND_MSG: mon=0x7f9378014ef0 msg={""execute"":""migrate-set-cache-size"",""arguments"":{""value"":134217728},""id"":""libvirt-40""}

 2018-05-08 02:05:48.163+0000: 14965: info : qemuMonitorSend:1076 : QEMU_MONITOR_SEND_MSG: mon=0x7f9378014ef0 msg={""execute"":""migrate-set-parameters"",""arguments"":{""compress-level"":2,""compress-threads"":4,""decompress-threads"":3,""tls-creds"":"""",""tls-hostname"":""""},""id"":""libvirt-45""}";;RedHatEnterpriseLinux7/RHEL-120199
231;RHEL-120208;[Migration][event] Check event during live migration - migration fails due to I/O error - test with qemu-kvm-rhev - bug 1212077;N/A;Fangge Jin (fjin);Medium;Positive;Not Automated;;1;On source host, start a guest;​​;Test Case;RedHatEnterpriseLinux7/RHEL-120208
231;;;;;;;;;2;"On both source and target host, monitor the guest event:
 
* # virsh event V --loop --all
";​​;;RedHatEnterpriseLinux7/RHEL-120208
231;;;;;;;;;3;"On source host, do live migration with --abort-on-error and produce I/O error during migration.
 
* # virsh migrate V qemu+ssh://10.66.6.6/system --live --abort-on-error

* For how to produce I/O error, refer to:
RHEL7-16714 - [Storage][negative] check guest status when overcommit the disk
";"Migration fails.
 
 Output:
 Migration: [  2 %]error: internal error: qemu unexpectedly closed the monitor: 2017-07-01T01:18:08.946053Z qemu-kvm: -chardev pty,id=charserial0: char device redirected to /dev/pts/6 (label charserial0)
 2017-07-01T01:18:27.055897Z qemu-kvm: load of migration failed: Input/output error";;RedHatEnterpriseLinux7/RHEL-120208
231;;;;;;;;;4;"On source host, check the output of ""virsh event V --loop --all"" 
 
​​";"event 'io-error' for domain V: /var/lib/libvirt/images/mypool/disk1.img (virtio-disk1) pause
 event 'io-error-reason' for domain V: /var/lib/libvirt/images/mypool/disk1.img (virtio-disk1) pause due to enospc
 event 'lifecycle' for domain V: Suspended I/O Error
 ...
 event 'lifecycle' for domain V: Resumed Unpaused
 event 'lifecycle' for domain V: Suspended Migrated
 event 'lifecycle' for domain V: Resumed Migrated";;RedHatEnterpriseLinux7/RHEL-120208
231;;;;;;;;;5;"On target host, check the output of ""virsh event V --loop --all"" 
​​";"event 'agent-lifecycle' for domain V: state: 'disconnected' reason: 'domain started'
 event 'lifecycle' for domain V: Started Migrated
 event 'lifecycle' for domain V: Stopped Failed";;RedHatEnterpriseLinux7/RHEL-120208
231;;;;;;;;;6;"On source host, check libvirtd log:
 
 
* # grep -E 'qemuProcessHandleMigrationStatus|qemuMonitorGetMigrationStats' /var/log/libvirt/libvirtd.log
";"""qemuMonitorGetMigrationStats'"" doesn't appear every 50ms in libvirt log, this means Libvirtd get events for migration status changes, instead of polling for the status every 50ms().
 
 Output:
 2015-08-21 10:50:15.676+0000: 14267: debug : qemuProcessHandleMigrationStatus:1535 : Migration of domain 0x7f4d30229550 V changed state to setup
 2015-08-21 10:50:15.680+0000: 14267: debug : qemuProcessHandleMigrationStatus:1535 : Migration of domain 0x7f4d30229550 V changed state to active
 2015-08-21 10:50:17.871+0000: 14267: debug : qemuProcessHandleMigrationStatus:1535 : Migration of domain 0x7f4d30229550 V changed state to cancelling
 2015-08-21 10:50:17.871+0000: 14267: debug : qemuProcessHandleMigrationStatus:1535 : Migration of domain 0x7f4d30229550 V changed state to cancelled";;RedHatEnterpriseLinux7/RHEL-120208
231;;;;;;;;;7;"On target host, check libvirtd log:
 
 
* # grep -E 'qemuProcessHandleMigrationStatus|qemuMonitorGetMigrationStats' /var/log/libvirt/libvirtd.log
";"""qemuMonitorGetMigrationStats'"" doesn't appear every 50ms in libvirt log, this means Libvirtd get events for migration status changes, instead of polling for the status every 50ms().
 
 Output:
 2015-08-21 10:50:15.647+0000: 5107: debug : qemuProcessHandleMigrationStatus:1532 : Migration of domain 0x7f596401ea50 V changed state to active
 2015-08-21 10:50:17.782+0000: 5107: debug : qemuProcessHandleMigrationStatus:1532 : Migration of domain 0x7f596401ea50 V changed state to failed";;RedHatEnterpriseLinux7/RHEL-120208
232;RHEL-120209;[Migration][event] Check event during live migration - migration fails - test with qemu-kvm-rhev - bug 1212077;Check libvirtd listens QMP events for migration status changes;Fangge Jin (fjin);Medium;Positive;Not Automated;;1;On source host, start a guest;​​;Test Case;RedHatEnterpriseLinux7/RHEL-120209
232;;;;;;;;;2;"On both source and target host, monitor the guest event:
 
* # virsh event V --loop --all
";​​;;RedHatEnterpriseLinux7/RHEL-120209
232;;;;;;;;;3;"Do migration, and break network before migration completes:
 
* # virsh migrate V qemu+ssh://10.66.6.6/system --live --p2p
* Before migration completes:
  
* # iptables -A INPUT -s 10.66.6.6 -j DROP
* Wait 30s, check migration status
";"Migration fails.
 
 Output:
 error: operation failed: Lost connection to destination host
​​";;RedHatEnterpriseLinux7/RHEL-120209
232;;;;;;;;;4;"On source host, check the output of ""virsh event V --loop --all"" ";"Output:
 event 'migration-iteration' for domain V: iteration: '1'";;RedHatEnterpriseLinux7/RHEL-120209
232;;;;;;;;;5;"On target host, check the output of ""virsh event V --loop --all""  
​​";"Output:
 event 'agent-lifecycle' for domain V: state: 'disconnected' reason: 'domain started'
 event 'lifecycle' for domain V: Started Migrated
 event 'lifecycle' for domain V: Stopped Destroyed";;RedHatEnterpriseLinux7/RHEL-120209
232;;;;;;;;;6;"On source host, check libvirtd log:
 
* # grep -E 'qemuProcessHandleMigrationStatus|qemuMonitorGetMigrationStats' /var/log/libvirt/libvirtd.log
";"""qemuMonitorGetMigrationStats'"" doesn't appear every 50ms in libvirt log, this means Libvirtd get events for migration status changes, instead of polling for the status every 50ms().
 
 Output:
 2017-06-02 11:04:55.710+0000: 27011: debug : qemuProcessHandleMigrationStatus:1626 : Migration of domain 0x7f8dc82c3c40 V changed state to setup
 2017-06-02 11:04:55.724+0000: 27011: debug : qemuProcessHandleMigrationStatus:1626 : Migration of domain 0x7f8dc82c3c40 V changed state to active
 2017-06-02 11:05:29.823+0000: 27011: debug : qemuProcessHandleMigrationStatus:1626 : Migration of domain 0x7f8dc82c3c40 V changed state to cancelling
 2017-06-02 11:05:29.833+0000: 27011: debug : qemuProcessHandleMigrationStatus:1626 : Migration of domain 0x7f8dc82c3c40 V changed state to cancelled
​​";;RedHatEnterpriseLinux7/RHEL-120209
232;;;;;;;;;7;"On target host, check libvirtd log: 
* # grep -E 'qemuProcessHandleMigrationStatus|qemuMonitorGetMigrationStats' /var/log/libvirt/libvirtd.log
";"""qemuMonitorGetMigrationStats'"" doesn't appear every 50ms in libvirt log, this means Libvirtd get events for migration status changes, instead of polling for the status every 50ms().
 
 Output:
 2017-06-02 11:04:55.644+0000: 36195: debug : qemuProcessHandleMigrationStatus:1626 : Migration of domain 0x7f5aa033de50 V changed state to setup
 2017-06-02 11:04:55.707+0000: 36195: debug : qemuProcessHandleMigrationStatus:1626 : Migration of domain 0x7f5aa033de50 V changed state to active";;RedHatEnterpriseLinux7/RHEL-120209
233;RHEL-120210;[Migration][event] Check event during live migration - migration succeeds with I/O error - test with qemu-kvm-rhev - bug 1212077;N/A;Fangge Jin (fjin);Medium;Positive;Not Automated;;1;On source host, start a guest;​​;Test Case;RedHatEnterpriseLinux7/RHEL-120210
233;;;;;;;;;2;"On both source and target host, monitor the guest event:
 
* # virsh event V --loop --all
";​​;;RedHatEnterpriseLinux7/RHEL-120210
233;;;;;;;;;3;"On source host, do live migration and produce I/O error during migration.
 
* # virsh migrate V qemu+ssh://10.66.6.6/system --live
* For how to produce I/O error, refer to:
RHEL7-16714 - [Storage][negative] check guest status when overcommit the disk
";Migration succeeds;;RedHatEnterpriseLinux7/RHEL-120210
233;;;;;;;;;4;"On source host, check the output of ""virsh event V --loop --all"" ";"event 'io-error' for domain V: /var/lib/libvirt/images/mypool/disk1.img (virtio-disk1) pause
 event 'io-error-reason' for domain V: /var/lib/libvirt/images/mypool/disk1.img (virtio-disk1) pause due to enospc
 event 'lifecycle' for domain V: Suspended I/O Error
 event 'io-error' for domain V: /var/lib/libvirt/images/mypool/disk1.img (virtio-disk1) pause
 event 'io-error-reason' for domain V: /var/lib/libvirt/images/mypool/disk1.img (virtio-disk1) pause due to enospc
 event 'migration-iteration' for domain V: iteration: '2'
 event 'migration-iteration' for domain V: iteration: '3'
 event 'migration-iteration' for domain V: iteration: '4'
 event 'lifecycle' for domain V: Stopped Migrated
 event 'job-completed' for domain V:
     operation: 5
     time_elapsed: 248552
     time_elapsed_net: 248548
     downtime: 106
     downtime_net: 102
     setup_time: 34
     data_total: 1208827904
     data_processed: 263095365
     data_remaining: 0
     memory_total: 1208827904
     memory_processed: 263095365
     memory_remaining: 0
     memory_bps: 1082165
     memory_constant: 258641
     memory_normal: 63535
     memory_normal_bytes: 260239360
     memory_dirty_rate: 0
     memory_iteration: 4
     disk_total: 0
     disk_processed: 0
     disk_remaining: 0";;RedHatEnterpriseLinux7/RHEL-120210
